"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2021","3,161.51","3,140.86","3,185.53","3,122.67","876.62K","0.66%"
"Aug 10, 2021","3,140.71","3,162.81","3,232.02","3,057.84","1.12M","-0.70%"
"Aug 09, 2021","3,162.93","3,011.88","3,184.84","2,899.24","1.44M","5.01%"
"Aug 08, 2021","3,012.07","3,158.30","3,188.49","2,949.66","1.25M","-4.62%"
"Aug 07, 2021","3,158.00","2,889.58","3,169.74","2,867.58","64.84K","9.29%"
"Aug 06, 2021","2,889.43","2,827.23","2,946.62","2,726.04","1.06M","2.20%"
"Aug 05, 2021","2,827.21","2,725.28","2,842.95","2,533.51","1.65M","3.74%"
"Aug 04, 2021","2,725.29","2,506.50","2,766.46","2,462.32","1.23M","8.72%"
"Aug 03, 2021","2,506.65","2,608.01","2,631.43","2,445.49","158.45K","-3.89%"
"Aug 02, 2021","2,608.04","2,556.07","2,664.73","2,513.51","970.67K","2.03%"
"Aug 01, 2021","2,556.23","2,530.94","2,696.38","2,515.26","1.20M","0.95%"
"Jul 31, 2021","2,532.19","2,461.08","2,551.68","2,421.70","507.08K","2.89%"
"Jul 30, 2021","2,460.95","2,380.59","2,467.40","2,320.80","1.03M","3.36%"
"Jul 29, 2021","2,380.93","2,299.46","2,397.71","2,269.15","642.75K","3.56%"
"Jul 28, 2021","2,299.11","2,300.21","2,343.49","2,246.23","968.94K","-0.05%"
"Jul 27, 2021","2,300.22","2,230.24","2,318.68","2,152.92","1.25M","3.17%"
"Jul 26, 2021","2,229.53","2,189.74","2,430.01","2,174.44","1.89M","1.81%"
"Jul 25, 2021","2,189.79","2,166.98","2,195.03","2,108.74","786.94K","1.76%"
"Jul 24, 2021","2,151.85","2,124.00","2,162.29","2,106.71","907.11K","1.33%"
"Jul 23, 2021","2,123.61","2,024.51","2,129.66","2,000.27","961.67K","4.89%"
"Jul 22, 2021","2,024.58","1,994.61","2,043.26","1,952.31","1.02M","1.51%"
"Jul 21, 2021","1,994.49","1,786.18","2,029.51","1,758.64","1.51M","11.67%"
"Jul 20, 2021","1,786.07","1,818.07","1,840.36","1,720.70","1.20M","-1.76%"
"Jul 19, 2021","1,818.07","1,891.43","1,915.15","1,807.19","802.78K","-3.93%"
"Jul 18, 2021","1,892.42","1,898.01","1,988.24","1,881.60","829.77K","-0.29%"
"Jul 17, 2021","1,897.98","1,877.00","1,917.80","1,851.97","623.52K","1.05%"
"Jul 16, 2021","1,878.20","1,917.21","1,960.21","1,852.42","619.62K","-2.03%"
"Jul 15, 2021","1,917.21","1,994.73","2,038.91","1,884.81","645.06K","-3.88%"
"Jul 14, 2021","1,994.64","1,940.48","2,017.99","1,868.45","1.05M","2.78%"
"Jul 13, 2021","1,940.72","2,035.09","2,042.61","1,920.62","717.85K","-4.64%"
"Jul 12, 2021","2,035.09","2,139.44","2,167.60","2,008.66","540.10K","-4.87%"
"Jul 11, 2021","2,139.35","2,110.90","2,173.34","2,081.62","724.84K","1.34%"