States,cost_of_living,comfort_buffer,comfortable_retirement
Alabama,45438,11359,56797
Alaska,65114,16279,81393
Arizona,50763,12691,63453
Arkansas,44728,11182,55910
California,72366,18092,90458
Colorado,52335,13084,65418
Connecticut,62984,15746,78730
Delaware,54617,13654,68271
Florida,50306,12577,62883
Georgia,45641,11410,57051
Hawaii,100207,25052,125259
Idaho,47821,11955,59777
Illinois,45489,11372,56861
Indiana,45387,11347,56734
Iowa,46351,11588,57938
Kansas,43866,10966,54832
Kentucky,47771,11943,59713
Louisiana,47416,11854,59270
Maine,58420,14605,73025
Maryland,64911,16228,81139
Massachusetts,65773,16443,82217
Michigan,45692,11423,57114
Minnesota,51321,12830,64151
Mississippi,42953,10738,53691
Missouri,44779,11195,55973
Montana,54870,13718,68588
Nebraska,47061,11765,58826
Nevada,55175,13794,68968
New Hampshire,54769,13692,68461
New Jersey,62071,15518,77589
New Mexico,44221,11055,55276
New York,79060,19765,98825
North Carolina,48430,12107,60537
North Dakota,48937,12234,61171
Ohio,46706,11676,58382
Oklahoma,43967,10992,54959
Pennsylvania,52335,13084,65418
Rhode Island,60144,15036,75181
South Carolina,48430,12107,60537
South Dakota,50560,12640,63200
Tennessee,45641,11410,57051
Texas,46503,11626,58129
Utah,49140,12285,61425
Vermont,59181,14795,73976
Virginia,51422,12855,64277
Washington,56899,14225,71124
West Virginia,46858,11714,58572
Wisconsin,48531,12133,60664
Wyoming,47923,11981,59904